player,unit,totalele,totalatk,totalammo,totalcs,totalhitrate,gear1line1,gear1line2,gear1line3,gear2line1,gear2line2,gear2line3,gear3line1,gear3line2,gear3line3,gear4line1,gear4line2,gear4line3,
ashan,ssakura,55.25,24.71,117.32,12.41,0.00,StatChargeTime: 4.63,StatAmmoLoad: 52.50,StatAtk: 4.77,IncElementDmg: 13.75,StatAtk: 9.70,StatAmmoLoad: 64.82,StatAtk: 5.47,IncElementDmg: 19.35,StatChargeTime: 4.92,StatChargeTime: 2.86,IncElementDmg: 22.15,StatAtk: 4.77
ashan,redhood,23.56,20.81,178.03,4.92,7.59,StatDef: 11.81,IncElementDmg: 23.56,StatAtk: 11.81,StatAmmoLoad: 68.93,StatAtk: 9.00,blank,StatChargeTime: 4.92,StatAmmoLoad: 68.93,blank,StatAccuracyCircle: 7.59,StatAmmoLoad: 40.17,StatChargeDamage: 5.47
ashan,laplace,51.05,18.54,40.17,0.00,6.88,StatAtk: 6.18,IncElementDmg: 10.94,blank,StatCritical: 5.37,StatCriticalDamage: 8.60,IncElementDmg: 23.56,StatAtk: 4.77,IncElementDmg: 16.55,StatAccuracyCircle: 6.88,StatAtk: 7.59,StatAmmoLoad: 40.17,blank
ashan,maxwell,23.56,11.81,68.93,0.00,23.62,StatDef: 11.81,StatAtk: 11.81,blank,IncElementDmg: 23.56,StatCriticalDamage: 16.44,blank,StatChargeDamage: 11.81,StatAccuracyCircle: 11.81,blank,StatAmmoLoad: 68.93,StatChargeDamage: 11.81,StatAccuracyCircle: 11.81
ashan,bsoda,0.00,11.81,0.00,9.84,23.62,StatDef: 11.81,StatAtk: 11.81,StatChargeDamage: 11.81,StatChargeTime: 4.92,blank,blank,StatCritical: 5.71,StatAccuracyCircle: 11.81,blank,StatChargeTime: 4.92,StatAccuracyCircle: 11.81,blank
ashan,snowwhite,23.56,0.00,96.77,2.86,0.00,StatAmmoLoad: 40.17,StatDef: 5.47,StatCritical: 5.03,StatChargeDamage: 7.59,StatAmmoLoad: 56.60,blank,StatChargeTime: 2.86,IncElementDmg: 23.56,blank,StatChargeDamage: 6.88,StatCriticalDamage: 15.46,StatCritical: 4.00
ashan,cindy,81.61,37.39,73.04,0.00,0.00,IncElementDmg: 24.96,StatAtk: 9.70,StatDef: 11.11,IncElementDmg: 22.15,StatAmmoLoad: 73.04,StatAtk: 6.88,StatCritical: 3.32,IncElementDmg: 15.15,StatAtk: 9.70,StatAtk: 11.11,IncElementDmg: 19.35,StatCritical: 3.66
ashan,sanis,75.99,39.51,0.00,4.04,6.18,StatChargeTime: 4.04,StatAtk: 9.00,IncElementDmg: 22.15,IncElementDmg: 22.15,StatAtk: 11.81,blank,IncElementDmg: 22.15,StatAccuracyCircle: 6.18,StatAtk: 11.11,StatAtk: 7.59,IncElementDmg: 9.54,blank
ashan,ein,44.31,17.99,68.01,3.75,11.81,StatAmmoLoad: 31.95,StatAtk: 7.59,StatChargeTime: 3.75,StatAmmoLoad: 36.06,StatAtk: 10.40,StatDef: 7.59,StatAccuracyCircle: 11.81,IncElementDmg: 23.56,blank,StatCriticalDamage: 15.46,IncElementDmg: 20.75,blank
ashan,exia,74.61,7.59,0.00,0.00,11.81,StatCriticalDamage: 16.44,IncElementDmg: 12.34,blank,IncElementDmg: 15.15,StatAtk: 7.59,blank,StatAccuracyCircle: 11.81,IncElementDmg: 23.56,blank,IncElementDmg: 23.56,blank,blank
ashan,xmaiden,23.56,0.00,165.70,0.00,0.00,IncElementDmg: 23.56,blank,blank,StatAmmoLoad: 68.93,StatCritical: 5.71,blank,StatCritical: 2.98,StatAmmoLoad: 36.06,StatChargeDamage: 7.59,StatAmmoLoad: 60.71,StatChargeDamage: 11.11,blank
